url,img_url,name,price
https://www.glassesshop.com/eyeglasses/fp1694,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03be967b506.jpg",Lexingto - Clear Pattern,$19.95
https://www.glassesshop.com/eyeglasses/fp1697,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03beaa13479.jpg",Novia - Black/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1642,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5db26823a6070.jpg",Isaiah - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fp1508,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b3b102ed9395.jpg",Bruno - Black,"
                                        "
https://www.glassesshop.com/eyeglasses/sm0787,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf283882.jpg",Darcy - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1456,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/5d8d74c323898.jpg",Zoe - Black/Purple,$19.95
https://www.glassesshop.com/eyeglasses/fz1094,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf27139c.jpg",Buckeye - Pink,$29.95
https://www.glassesshop.com/eyeglasses/fz1090,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c58d5a53.jpg",Mandy - Black,$29.95
https://www.glassesshop.com/eyeglasses/fp1326,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201705/5912aaac54269.jpg",West - Black,$19.95
url,img_url,name,price
https://www.glassesshop.com/eyeglasses/fz1370,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201907/5d268bd88f69a.jpg",Maltz - Pink Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fm1387,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d031896311f6.jpg",Celia - Rose Gold,$19.95
https://www.glassesshop.com/eyeglasses/fm1385,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d031896295ff.jpg",Celestia - Black/Golden,$19.95
